"Source:","C:\Users\Alex\Documents\microclem\hardware\base\microclem_base.sch"
"Date:","13/03/2021 16:22:15"
"Tool:","Eeschema (5.1.7)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","81"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","R7","4.7k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"","","R8","4.7k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"","","R9","4.7k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"","","R10","4.7k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"","","R11","4.7k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"","","RAM_HI1","71256SA12TPG","Memory_RAM:CY62256-70PC","Package_DIP:DIP-28_W7.62mm_Socket","https://ecee.colorado.edu/~mcclurel/Cypress_SRAM_CY62256.pdf"
"","","RAM_LO1","71256SA12TPG","Memory_RAM:CY62256-70PC","Package_DIP:DIP-28_W7.62mm_Socket","https://ecee.colorado.edu/~mcclurel/Cypress_SRAM_CY62256.pdf"
"","","ROM1","28C256","Memory_EEPROM:28C256","Socket:DIP_Socket-28_W11.9_W12.7_W15.24_W17.78_W18.5_3M_228-1277-00-0602J","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0006.pdf"
"","","U1","74AHC02","74xx:74LS02","Package_DIP:DIP-14_W7.62mm_Socket","https://www.ti.com/lit/ds/symlink/sn74ahc02"
"","","U2","74AHC08","74xx:74LS08","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74AHC08"
"","","U3","74AHC14","74xx:74LS14","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74AHC14"
"","","U4","74AHC08","74xx:74LS08","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74AHC08"
"","","U5","74AHC74","74xx:74LS74","Package_DIP:DIP-14_W7.62mm_Socket","https://www.ti.com/lit/ds/symlink/sn74ahc74.pdf"
"","","U6","74AHC00","74xx:74LS00","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74AHC00"
"","","U7","74AHC08","74xx:74LS08","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74AHC08"
"","","U8","74AHC32","74xx:74LS32","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74AHC32"
"","","U9","74AHCT125","74xx:74LS125","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74AHCT125"
